"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
31982,516,1,12130,"5.98","2007-05-14 13:44:29.996577"
32023,42,1,13351,"5.98","2007-05-14 13:44:29.996577"
32000,576,2,11942,"5.98","2007-05-14 13:44:29.996577"
31924,284,1,12064,"5.98","2007-05-14 13:44:29.996577"
31995,560,2,12116,"5.98","2007-05-14 13:44:29.996577"
32078,208,1,13719,"5.98","2007-05-14 13:44:29.996577"
32084,216,1,12970,"5.98","2007-05-14 13:44:29.996577"
22483,582,1,15090,"5.99","2007-03-22 10:02:59.996577"
30262,113,2,3657,"5.99","2007-04-06 06:23:56.996577"
26421,376,1,4554,"5.99","2007-04-08 03:16:29.996577"
22498,584,2,12693,"5.99","2007-03-18 18:38:45.996577"
22500,584,2,14102,"5.99","2007-03-20 23:03:47.996577"
22501,584,2,14230,"5.99","2007-03-21 03:25:55.996577"
26388,373,1,5120,"5.99","2007-04-09 05:42:49.996577"
18965,119,2,3388,"5.99","2007-02-21 13:03:17.996577"
30259,112,1,9830,"5.99","2007-04-30 10:27:31.996577"
26384,372,1,9128,"5.99","2007-04-30 08:19:40.996577"
26376,372,2,7234,"5.99","2007-04-27 08:37:11.996577"
30223,108,2,8329,"5.99","2007-04-29 02:34:59.996577"
30220,108,1,5661,"5.99","2007-04-10 06:22:17.996577"
22545,589,2,15917,"5.99","2007-03-23 16:25:54.996577"
22548,590,2,11578,"5.99","2007-03-17 00:22:39.996577"
22552,591,2,12203,"5.99","2007-03-18 00:47:18.996577"
22555,591,1,12571,"5.99","2007-03-18 13:59:44.996577"
22556,591,1,12934,"5.99","2007-03-19 03:47:08.996577"
26335,368,1,9400,"5.99","2007-04-30 18:44:24.996577"
26330,368,1,6154,"5.99","2007-04-11 08:00:45.996577"
22570,593,1,10840,"5.99","2007-03-01 22:07:00.996577"
30206,107,1,6811,"5.99","2007-04-12 16:22:59.996577"
22574,593,1,14408,"5.99","2007-03-21 09:15:50.996577"
26320,367,2,6835,"5.99","2007-04-12 17:26:29.996577"
17894,444,2,3415,"5.99","2007-02-21 15:28:15.996577"
22600,597,2,10986,"5.99","2007-03-02 03:03:50.996577"
22604,597,1,11880,"5.99","2007-03-17 12:56:54.996577"
30187,105,2,9198,"5.99","2007-04-30 11:05:34.996577"
26302,366,2,6738,"5.99","2007-04-12 12:46:21.996577"
26297,366,1,4569,"5.99","2007-04-08 03:59:17.996577"
26249,362,2,5690,"5.99","2007-04-10 07:55:15.996577"
22637,203,2,14505,"5.99","2007-03-21 12:54:54.996577"
22640,204,2,10399,"5.99","2007-03-01 05:42:05.996577"
26225,360,2,6770,"5.99","2007-04-12 14:18:06.996577"
30178,104,2,9996,"5.99","2007-04-30 16:00:29.996577"
26218,359,2,10174,"5.99","2007-04-30 22:08:34.996577"
30161,103,1,6525,"5.99","2007-04-12 02:45:41.996577"
26204,358,2,5023,"5.99","2007-04-09 00:51:42.996577"
26198,357,1,7366,"5.99","2007-04-27 13:29:43.996577"
26186,356,1,8975,"5.99","2007-04-30 02:38:44.996577"
22672,207,2,11286,"5.99","2007-03-02 13:12:48.996577"
19024,134,1,3267,"5.99","2007-02-21 03:23:47.996577"
17621,371,2,1675,"5.99","2007-02-16 09:33:13.996577"
26175,355,2,7477,"5.99","2007-04-27 17:39:29.996577"
26169,355,1,5564,"5.99","2007-04-10 01:51:31.996577"
22690,1,1,15315,"5.99","2007-03-22 18:32:12.996577"
22693,2,1,11087,"5.99","2007-03-02 06:10:07.996577"
19032,137,1,3436,"5.99","2007-02-21 17:44:35.996577"
22699,2,2,14743,"5.99","2007-03-21 21:10:22.996577"
22702,3,2,10597,"5.99","2007-03-01 12:48:14.996577"
26166,355,1,3567,"5.99","2007-04-06 01:38:02.996577"
26157,354,1,6939,"5.99","2007-04-26 21:46:17.996577"
26149,354,1,4449,"5.99","2007-04-07 21:47:24.996577"
30148,102,1,8664,"5.99","2007-04-29 14:04:53.996577"
26142,353,2,4380,"5.99","2007-04-07 19:03:26.996577"
30143,102,2,6434,"5.99","2007-04-11 22:42:51.996577"
17905,448,1,1313,"5.99","2007-02-15 08:47:00.996577"
30141,102,2,5509,"5.99","2007-04-09 23:23:12.996577"
30139,102,1,5009,"5.99","2007-04-09 00:00:43.996577"
26139,352,1,7845,"5.99","2007-04-28 07:46:33.996577"
22743,6,1,15509,"5.99","2007-03-23 01:19:50.996577"
19054,144,1,1814,"5.99","2007-02-16 19:43:48.996577"
22746,7,1,10423,"5.99","2007-03-01 06:48:19.996577"
26134,352,2,6329,"5.99","2007-04-11 17:39:04.996577"
26128,351,2,6777,"5.99","2007-04-12 14:33:06.996577"
22756,7,1,14222,"5.99","2007-03-21 03:18:14.996577"
26123,351,2,4761,"5.99","2007-04-08 13:20:11.996577"
26113,350,1,3893,"5.99","2007-04-06 17:27:57.996577"
22767,9,2,11400,"5.99","2007-03-02 17:29:18.996577"
26110,349,1,9670,"5.99","2007-04-30 05:01:59.996577"
26102,349,2,4494,"5.99","2007-04-08 00:11:11.996577"
22780,10,1,15370,"5.99","2007-03-22 20:27:55.996577"
30126,101,2,7112,"5.99","2007-04-27 04:07:08.996577"
22784,11,2,12015,"5.99","2007-03-17 18:01:10.996577"
26069,347,1,4232,"5.99","2007-04-07 11:17:38.996577"
22798,13,2,11761,"5.99","2007-03-17 08:13:25.996577"
26060,346,2,8272,"5.99","2007-04-28 23:58:17.996577"
26037,344,2,6363,"5.99","2007-04-11 19:41:45.996577"
26035,344,2,4028,"5.99","2007-04-07 00:47:40.996577"
31657,242,2,5666,"5.99","2007-04-10 06:38:55.996577"
19072,147,2,3011,"5.99","2007-02-20 09:07:36.996577"
26033,343,2,9458,"5.99","2007-04-30 20:53:00.996577"
26031,343,2,8012,"5.99","2007-04-28 13:57:26.996577"
22824,15,1,13393,"5.99","2007-03-19 20:32:12.996577"
22825,15,2,13503,"5.99","2007-03-20 00:28:59.996577"
26026,343,1,3978,"5.99","2007-04-06 21:32:59.996577"
26023,342,2,9948,"5.99","2007-04-30 14:18:07.996577"
17909,448,2,3347,"5.99","2007-02-21 09:36:58.996577"
25996,339,2,9208,"5.99","2007-04-30 11:22:29.996577"
22848,17,2,15752,"5.99","2007-03-23 11:10:04.996577"
25977,338,2,4104,"5.99","2007-04-07 04:54:07.996577"
22856,19,1,11869,"5.99","2007-03-17 12:38:48.996577"
25974,337,2,9051,"5.99","2007-04-30 05:34:20.996577"
25963,337,1,3626,"5.99","2007-04-06 04:44:01.996577"
25951,336,2,4323,"5.99","2007-04-07 16:24:19.996577"
25948,335,1,9125,"5.99","2007-04-30 08:12:05.996577"
19077,148,2,2847,"5.99","2007-02-19 21:22:27.996577"
25930,334,2,6641,"5.99","2007-04-12 09:01:40.996577"
25928,334,2,5818,"5.99","2007-04-10 14:19:38.996577"
25908,332,1,9388,"5.99","2007-04-30 17:55:48.996577"
22894,22,1,12023,"5.99","2007-03-17 18:23:20.996577"
25892,331,1,9401,"5.99","2007-04-30 18:46:45.996577"
19082,149,1,2305,"5.99","2007-02-18 06:59:44.996577"
25889,331,1,5947,"5.99","2007-04-10 21:36:08.996577"
30125,101,2,6433,"5.99","2007-04-11 22:40:28.996577"
19086,150,1,3456,"5.99","2007-02-21 19:48:13.996577"
25885,331,2,4063,"5.99","2007-04-07 02:52:23.996577"
22921,25,1,10324,"5.99","2007-03-01 03:17:32.996577"
22929,25,1,15972,"5.99","2007-03-23 18:28:56.996577"
22934,26,1,11744,"5.99","2007-03-17 07:22:56.996577"
25874,330,1,5750,"5.99","2007-04-10 10:49:07.996577"
25839,326,1,8467,"5.99","2007-04-29 06:54:01.996577"
25835,326,1,5147,"5.99","2007-04-09 06:46:07.996577"
25823,325,1,5470,"5.99","2007-04-09 21:39:15.996577"
25802,323,2,7695,"5.99","2007-04-28 02:09:39.996577"
