"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
133,"Chamber Italian","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria",2006,1,7,"4.99",117,"14.99","NC-17","2013-05-26 14:50:58.951","{Trailers}","'chamber':1 'fate':4 'husband':11 'italian':2 'monkey':16 'moos':8 'must':13 'nigeria':18 'overcom':14 'reflect':5"
384,"Grosse Wonderful","A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia",2006,1,5,"4.99",49,"19.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'australia':18 'cat':8 'drama':5 'epic':4 'explor':11 'gross':1 'moos':16 'must':13 'redeem':14 'wonder':2"
8,"Airport Pollock","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,1,6,"4.99",54,"15.99","R","2013-05-26 14:50:58.951","{Trailers}","'airport':1 'ancient':18 'confront':14 'epic':4 'girl':11 'india':19 'monkey':16 'moos':8 'must':13 'pollock':2 'tale':5"
98,"Bright Encounters","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat",2006,1,4,"4.99",73,"12.99","PG-13","2013-05-26 14:50:58.951","{Trailers}","'boat':20 'bright':1 'conquer':14 'encount':2 'fate':4 'feminist':11 'jet':19 'lumberjack':8 'must':13 'student':16 'yarn':5"
2,"Ace Goldfinger","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,1,3,"4.99",48,"12.99","G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'ace':1 'administr':9 'ancient':19 'astound':4 'car':17 'china':20 'databas':8 'epistl':5 'explor':12 'find':15 'goldfing':2 'must':14"
3,"Adaptation Holes","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,1,7,"2.99",50,"18.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'adapt':1 'astound':4 'baloon':19 'car':11 'factori':20 'hole':2 'lumberjack':8,16 'must':13 'reflect':5 'sink':14"
6,"Agent Truman","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,1,3,"2.99",169,"17.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'agent':1 'ancient':19 'boy':11 'china':20 'escap':14 'intrepid':4 'must':13 'panorama':5 'robot':8 'sumo':16 'truman':2 'wrestler':17"
11,"Alamo Videotape","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,1,6,"0.99",126,"16.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'alamo':1 'bore':4 'butler':8 'cat':11 'chef':17 'convent':21 'epistl':5 'fight':14 'must':13 'mysql':20 'pastri':16 'videotap':2"
213,"Date Speed","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention",2006,1,4,"0.99",104,"19.99","R","2013-05-26 14:50:58.951","{Commentaries}","'compos':8 'convent':20 'date':1 'dentist':16 'discov':14 'moos':11 'must':13 'mysql':19 'saga':5 'speed':2 'touch':4"
15,"Alien Center","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,1,5,"2.99",46,"10.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'alien':1 'battl':15 'brilliant':4 'cat':8 'center':2 'convent':21 'drama':5 'feminist':17 'mad':11 'must':14 'mysql':20 'scientist':12"
